fin_year,min,max,mean,sd,median,range,IQR,n_unique,not_in_census,%_in_census
2006/07,1479,1527,1502.51,11.75,1501,48,15,2435,928,61.89
2007/08,1488,1544,1508.65,12.61,1508,56,18,2465,970,60.65
2008/09,1486,1527,1508.63,9.96,1508,41,16,2438,934,61.69
2009/10,1488,1551,1516.43,15.62,1520,63,24,2428,926,61.86
2010/11,1256,1520,1399.39,90.85,1378,264,176,2157,910,57.81
2011/12,1195,1271,1234.19,15.21,1236,76,19,2096,857,59.11
2012/13,1248,1369,1288.44,36.55,1278,121,39,2381,1024,56.99
2013/14,1343,1436,1405.52,21.17,1408,93,31,2599,1180,54.60
2014/15,1437,1568,1505.50,44.68,1502,131,90,2763,1212,56.13
2015/16,1545,1609,1582.60,13.27,1580,64,21,2881,1392,51.68
